iter	TotalF1	MultiClass
525	0.5665345049	0.9124072893
526	0.5668046579	0.9122612863
527	0.5670720923	0.9121304964
528	0.5670420033	0.9120530032
529	0.5669954724	0.9119735255
530	0.5670080149	0.9118385689
531	0.5671460672	0.9117290441
532	0.567076137	0.9116851479
533	0.5673387579	0.9115331612
534	0.56735043	0.9114762468
535	0.5674788094	0.9113399783
536	0.5674853969	0.9112667756
537	0.5675987531	0.9111899148
538	0.5678970495	0.9109923579
539	0.5679975739	0.9108974226
540	0.5681932304	0.9108304809
541	0.5682670645	0.9107741098
542	0.5683630469	0.9106879029
543	0.5683723022	0.9105758637
544	0.5684042811	0.91045669
545	0.568502195	0.9102586098
546	0.5686691463	0.9101771104
547	0.5687620157	0.9101040659
548	0.5689235117	0.9100237168
549	0.5690786528	0.9099096143
550	0.5692681183	0.9098047355
551	0.5692355411	0.9097203526
552	0.5692531193	0.9096083199
553	0.5691805194	0.9095334425
554	0.5694916805	0.9094130823
555	0.5695314962	0.9092686399
556	0.5696108549	0.9091737404
557	0.5696751882	0.909096646
558	0.5696933115	0.9090033891
559	0.569784626	0.9088421617
560	0.5697667879	0.9087174101
561	0.5698480054	0.9086285765
562	0.5699471343	0.9085692964
563	0.5699497812	0.9084430207
564	0.5698957649	0.9083548078
565	0.5700242351	0.9082828407
566	0.5702872391	0.9081279239
567	0.5703195805	0.9080310471
568	0.570295884	0.9078739849
569	0.570442412	0.9077783505
570	0.5705171662	0.9077053712
571	0.5706409887	0.9076143667
572	0.5705429117	0.9075370886
573	0.5707224116	0.9073948631
574	0.5707693324	0.9073383906
575	0.5709104045	0.9072149666
576	0.570726007	0.9071550229
577	0.5709493771	0.9070703037
578	0.5711566893	0.9069569574
579	0.571286699	0.9068781232
580	0.5713957122	0.9067411809
581	0.5713631106	0.9065874864
582	0.5715456703	0.9065188738
583	0.571494405	0.9064218242
584	0.5715724189	0.9063045824
585	0.5716084555	0.906209425
586	0.5716601178	0.906114112
587	0.5717633373	0.9059755217
588	0.571757483	0.9059082207
589	0.5719129914	0.9057980493
590	0.5721306049	0.9056299496
591	0.5721388706	0.9055322495
592	0.5721446987	0.9053807577
593	0.5721847601	0.9052758269
594	0.5722643025	0.9051530697
595	0.5723850975	0.9050834137
596	0.5725290472	0.9049720602
597	0.5726627415	0.9048733938
598	0.572663583	0.9047185883
599	0.5727943064	0.9046198287
600	0.5729261941	0.904530309
601	0.5730475263	0.9044032871
602	0.5731533681	0.9043313955
603	0.5731349068	0.9042265411
604	0.5732270149	0.9040743907
605	0.5735977352	0.9039200835
606	0.5735657207	0.9038225955
607	0.5736632637	0.9037022239
608	0.5737244356	0.9035797283
609	0.5738670613	0.9034754907
610	0.5740356904	0.9033461709
611	0.5739344631	0.9032868752
612	0.5741024966	0.9031316975
613	0.5741624414	0.9029962877
614	0.5743825641	0.9029291832
615	0.574440184	0.9028671378
616	0.5746664897	0.9027086607
617	0.5747771174	0.9025774932
618	0.5748660232	0.9024423375
619	0.5749356563	0.9023714748
620	0.5750808464	0.9022229073
621	0.5751331559	0.9020706253
622	0.5750828072	0.9019882106
623	0.5753374843	0.9019256993
624	0.5754068822	0.9017265138
625	0.5755138661	0.9015635079
626	0.5754938584	0.9014457974
627	0.5756546824	0.9012871947
628	0.5757450561	0.9012184997
629	0.5757446951	0.9011720965
630	0.5756114295	0.9010980663
631	0.575718985	0.9009691211
632	0.5758257884	0.9008824448
633	0.5759177342	0.9007968067
634	0.5759375744	0.9007021105
635	0.5758832552	0.9005990477
636	0.5759592011	0.9005417191
637	0.5761485727	0.9004629668
638	0.5761030407	0.9004167206
639	0.5763602895	0.9002799994
640	0.5764995542	0.9000951775
641	0.5765936233	0.9000140357
642	0.5766023397	0.8999504101
643	0.5767416075	0.8997918785
644	0.576891978	0.8996654714
645	0.5770135696	0.8995616189
646	0.5771401164	0.8994350067
647	0.5772549344	0.8993207388
648	0.5774154965	0.8992391802
649	0.5773795669	0.8991626576
650	0.5775174745	0.8990282082
651	0.5776105709	0.89887994
652	0.5775931904	0.898826892
653	0.5776190275	0.8987259452
654	0.577732979	0.8986694952
655	0.5776609095	0.8985284852
656	0.5778290696	0.8984601025
657	0.5779173387	0.8982986292
658	0.5779998979	0.8981550605
659	0.5782304957	0.8979916517
660	0.5782690684	0.8978021079
661	0.578366991	0.8976940294
662	0.5784599113	0.8975776666
663	0.5785519196	0.8974616361
664	0.5787146567	0.8973855322
665	0.5789090872	0.8971941893
666	0.5789979707	0.8970938071
667	0.5790304214	0.8970319348
668	0.5790876358	0.8969279522
669	0.5791762517	0.8968327139
670	0.5793473203	0.896725905
671	0.5793192546	0.8966602342
672	0.5793702038	0.8964930548
673	0.5794362569	0.8964388341
674	0.5797090013	0.8963196923
675	0.5798251034	0.8961797623
676	0.5797025219	0.8960399109
677	0.5798415488	0.8959648837
678	0.5798604343	0.8958783518
679	0.5799842777	0.8958127279
680	0.5798832795	0.8957216966
681	0.5799914019	0.8956053982
682	0.5801433414	0.8954248894
683	0.5799830191	0.8953639483
684	0.5801691025	0.8952341949
685	0.5803208757	0.8951716509
686	0.5802659155	0.8950764667
687	0.5803707344	0.8949700836
688	0.5802318595	0.8949219923
689	0.5803863618	0.8947575608
690	0.5805570081	0.8945817411
691	0.5806541579	0.8945089353
692	0.5808497343	0.8944324383
693	0.5809997116	0.8942453399
694	0.5811713292	0.894131896
695	0.5812696996	0.894060408
696	0.5813967348	0.8939818854
697	0.5813851047	0.8938827224
698	0.5814682998	0.8938003949
699	0.5817179052	0.8936817387
700	0.5817419384	0.8935975824
701	0.5817089964	0.893488219
702	0.5816845439	0.8933621879
703	0.5817993644	0.8933096723
704	0.5818229456	0.8931424943
705	0.5819902896	0.8930095113
706	0.5821741863	0.8928992618
707	0.5824743592	0.8928128151
708	0.5824706607	0.8926883975
709	0.5825664411	0.8925446021
710	0.5826701569	0.8924061657
711	0.5827703879	0.8923328298
712	0.5829788765	0.8922004087
713	0.5831157667	0.8921312733
714	0.5830783793	0.8920425532
715	0.5832332091	0.8919387055
716	0.5831725398	0.8918660988
717	0.5832457152	0.8917557633
718	0.5834621336	0.8916203504
719	0.5834792226	0.8915221825
720	0.5835885315	0.8914321542
721	0.5836567988	0.8913251707
722	0.5837084029	0.8912781528
723	0.5838956395	0.891125617
724	0.583984404	0.8910052387
725	0.5841147507	0.8909137836
726	0.5841338247	0.8908458149
727	0.5841594352	0.8907706421
728	0.5842931321	0.8906063901
729	0.5842566173	0.8905084676
730	0.5842234261	0.8904374688
731	0.5843159232	0.8903189806
732	0.5844172645	0.8902337664
733	0.5844685069	0.8901801671
734	0.5845313001	0.8900556343
735	0.5845362436	0.8899800726
736	0.5846413593	0.8899081996
737	0.5847401717	0.8897743571
738	0.5849072857	0.8896335534
739	0.5849784702	0.8895388406
740	0.5850859728	0.889438888
741	0.5851617041	0.8893666442
742	0.5853134528	0.8893151588
743	0.5852505537	0.8891904992
744	0.5853793171	0.8891200974
745	0.5853925487	0.8890622153
746	0.5854910562	0.8890122995
747	0.5855801572	0.8889448807
748	0.5856386955	0.8888665393
749	0.5855129374	0.8887583574
750	0.5856354687	0.8886568754
751	0.5857955919	0.8885371185
752	0.5859214906	0.8884094596
753	0.5859716433	0.8883142386
754	0.5859238725	0.8882453251
755	0.5859901648	0.8881014351
756	0.5860218638	0.8879728641
757	0.5861437251	0.8878637729
758	0.5862380656	0.8878035267
759	0.5862957582	0.8877428814
760	0.5866230458	0.8876313573
761	0.586559361	0.887570035
762	0.586613976	0.8874248775
763	0.5866393013	0.8873655992
764	0.5866327819	0.8872303543
765	0.5866474337	0.8870914338
766	0.5866593141	0.8869903066
767	0.5868001444	0.8868498516
768	0.5868940687	0.8867548688
769	0.5869787617	0.8866694221
770	0.5869702139	0.8865440339
771	0.5869546296	0.8864089072
772	0.5869749798	0.8863628778
773	0.5870849391	0.8862326391
774	0.5871962924	0.8861659626
775	0.587271501	0.8861080033
776	0.5874260882	0.8860328411
777	0.5874965447	0.8859390173
778	0.5876348611	0.8858297464
779	0.5877175	0.8857544661
780	0.5878793206	0.8856462013
781	0.5878289026	0.8855959882
782	0.5879223857	0.8855126139
783	0.5879591724	0.885432879
784	0.5882292838	0.8852714995
785	0.5883044658	0.8852184676
786	0.5883369183	0.8851267632
787	0.5883553389	0.8850251178
788	0.5884092518	0.8849424485
789	0.5884442479	0.8848562862
790	0.5885803852	0.8848096911
791	0.5887010875	0.884754661
792	0.5886535694	0.8847065758
793	0.5888862287	0.8846007555
794	0.5890146054	0.8844694592
795	0.5890771447	0.8843947256
796	0.589181439	0.8842766995
797	0.5892160351	0.8841845583
798	0.5893458398	0.8841187909
799	0.5893227032	0.8839944563
800	0.5892946047	0.8838935649
801	0.5893256131	0.8838420085
802	0.5894380299	0.8837106469
803	0.5894716656	0.8836106698
804	0.5896376309	0.8834849308
805	0.5897060164	0.8834024235
806	0.5897865383	0.8833153376
807	0.5897614216	0.8832453088
808	0.5896379252	0.8831191048
809	0.5898084371	0.8830294084
810	0.5900204201	0.8828908613
811	0.5901472461	0.8828398562
812	0.5901890598	0.8827600077
813	0.5902433984	0.8826854279
814	0.5903551747	0.8825499657
815	0.590334901	0.8824435002
816	0.5905346929	0.8822473938
817	0.5904678131	0.8821385686
818	0.5904995638	0.8820737833
819	0.5905733369	0.8820239836
820	0.5907070655	0.8819165589
821	0.5908464519	0.8818345363
822	0.5908382615	0.8817693541
823	0.5910247964	0.8816594654
824	0.5911278793	0.8815465409
825	0.5911442099	0.8814821042
826	0.5912121916	0.8813519421
827	0.5913024733	0.8812765551
828	0.5913861438	0.8811381971
829	0.5915000585	0.8810123011
830	0.5915238672	0.8809252337
831	0.5916769803	0.8808722948
832	0.5919890581	0.8807213885
833	0.5920286849	0.8806687473
834	0.5920488351	0.8805630415
835	0.5920865341	0.880465706
836	0.5922363269	0.8803489714
837	0.5923604693	0.8802855019
838	0.5922776006	0.880206384
839	0.592386775	0.8800680182
840	0.5923695446	0.8799610114
841	0.59259004	0.879806979
842	0.5927803244	0.8796823511
843	0.5928168871	0.879629427
844	0.5928663642	0.8795320268
845	0.5929235456	0.8793637225
846	0.5929749808	0.8792519011
847	0.5931220299	0.8791707812
848	0.5933850916	0.8790957141
849	0.5933830794	0.8790345704
850	0.5935022723	0.8789301522
851	0.5935338106	0.8788719437
852	0.5936183483	0.8787564177
853	0.5936371482	0.8786966126
854	0.5938450722	0.8786237587
855	0.5939249647	0.8785351792
856	0.5940920197	0.8784048119
857	0.5941856567	0.878337758
858	0.5943678216	0.8782013884
859	0.594392135	0.8780857488
860	0.5945288686	0.8779611185
861	0.594641807	0.8778533727
862	0.5947199529	0.8777789125
863	0.5948365991	0.8776930285
864	0.5949638685	0.8775398905
865	0.5949746959	0.8774981077
866	0.5949488281	0.8774099258
867	0.5951030593	0.8773234768
868	0.5951655396	0.8772065059
869	0.5952059414	0.8771339721
870	0.5951331412	0.8770384921
871	0.5951345628	0.876965053
872	0.5953739202	0.8769002924
873	0.5954295255	0.8768476129
874	0.5955490539	0.8767424037
875	0.595622851	0.8765749467
876	0.595608807	0.8765058799
877	0.5955697497	0.8763624584
878	0.5957619206	0.8762237697
879	0.5957723223	0.8761466097
880	0.5959237093	0.8760726684
881	0.5959455224	0.8760123132
882	0.5960685973	0.8759614296
